title,address,access,age,floor,fee,management_fee,deposit,gratuity,madori,menseki
都電荒川線 早稲田駅 9階建 築9年,東京都新宿区西早稲田１,"
都電荒川線/早稲田駅 歩1分
東京メトロ東西線/早稲田駅 歩11分
都電荒川線/面影橋駅 歩6分
","
築9年
9階建
","
											7階",16.7万円,2500円,16.7万円,16.7万円,1LDK,46.36m2
小林ビル,東京都新宿区早稲田鶴巻町,"
東京メトロ有楽町線/江戸川橋駅 歩5分
東京メトロ東西線/早稲田駅 歩9分
都電荒川線/早稲田駅 歩9分
","
築38年
6階建
","
											2階",7.5万円,5000円,7.5万円,-,1K,28.37m2
小林ビル,東京都新宿区早稲田鶴巻町,"
東京メトロ有楽町線/江戸川橋駅 歩5分
東京メトロ東西線/早稲田駅 歩9分
都電荒川線/早稲田駅 歩9分
","
築38年
6階建
","
											4階",10.5万円,5000円,10.5万円,10.5万円,2DK,42m2
河田町ガーデン３,東京都新宿区河田町,"
都営新宿線/曙橋駅 歩4分
都営大江戸線/若松河田駅 歩6分
東京メトロ丸ノ内線/四谷三丁目駅 歩15分
","
築19年
8階建
","
											2階",22.2万円,10000円,-,22.2万円,1LDK,57.9m2
河田町ガーデン３,東京都新宿区河田町,"
都営新宿線/曙橋駅 歩4分
都営大江戸線/若松河田駅 歩6分
東京メトロ丸ノ内線/四谷三丁目駅 歩15分
","
築19年
8階建
","
											6階",25.42万円,10000円,-,25.42万円,1LDK,64.42m2
ＪＲ山手線 目白駅 地下1地上4階建 築4年,東京都新宿区下落合２,"
ＪＲ山手線/目白駅 歩5分
ＪＲ山手線/高田馬場駅 歩9分
東京メトロ東西線/高田馬場駅 歩9分
","
築4年
地下1地上4階建
","
											2階",8.4万円,10000円,8.4万円,8.4万円,ワンルーム,20.47m2
ＪＲ山手線 目白駅 地下1地上4階建 築4年,東京都新宿区下落合２,"
ＪＲ山手線/目白駅 歩5分
ＪＲ山手線/高田馬場駅 歩9分
東京メトロ東西線/高田馬場駅 歩9分
","
築4年
地下1地上4階建
","
											2階",11.4万円,10000円,11.4万円,11.4万円,1K,30.39m2
レジディア市ヶ谷2,東京都新宿区市谷砂土原町２,"
東京メトロ有楽町線/市ケ谷駅 歩5分
都営大江戸線/牛込神楽坂駅 歩8分
ＪＲ中央線/市ケ谷駅 歩10分
","
築15年
14階建
","
											14階",14万円,10000円,14万円,14万円,1K,34.93m2
ブライズ神楽坂DUE,東京都新宿区水道町,"
東京メトロ東西線/神楽坂駅 歩6分
東京メトロ有楽町線/江戸川橋駅 歩4分
都営大江戸線/牛込神楽坂駅 歩12分
","
築2年
8階建
","
											6階",10.95万円,-,10.95万円,10.95万円,1K,25.68m2
ブライズ神楽坂DUE,東京都新宿区水道町,"
東京メトロ東西線/神楽坂駅 歩6分
東京メトロ有楽町線/江戸川橋駅 歩4分
都営大江戸線/牛込神楽坂駅 歩12分
","
築2年
8階建
","
											4階",10.8万円,12000円,10.8万円,10.8万円,1K,25.43m2
ブライズ神楽坂DUE,東京都新宿区水道町,"
東京メトロ東西線/神楽坂駅 歩6分
東京メトロ有楽町線/江戸川橋駅 歩4分
都営大江戸線/牛込神楽坂駅 歩12分
","
築2年
8階建
","
											6階",10.9万円,12000円,10.9万円,10.9万円,1K,25.43m2
メゾンドブラン,東京都新宿区西落合１,"
都営大江戸線/落合南長崎駅 歩5分
西武新宿線/中井駅 歩9分

","
築36年
3階建
","
											3階",10万円,3000円,10万円,10万円,2DK,40m2
都営大江戸線 西新宿五丁目駅 6階建 築18年,東京都新宿区西新宿４,"
都営大江戸線/西新宿五丁目駅 歩2分
都営大江戸線/都庁前駅 歩12分
京王新線/初台駅 歩10分
","
築18年
6階建
","
											4階",9.9万円,10000円,-,9.9万円,1K,25.2m2
都営大江戸線 西新宿五丁目駅 6階建 築18年,東京都新宿区西新宿４,"
都営大江戸線/西新宿五丁目駅 歩2分
都営大江戸線/都庁前駅 歩12分
京王新線/初台駅 歩10分
","
築18年
6階建
","
											1階",16.8万円,-,16.8万円,-,2DK,42.99m2
センターウェル,東京都新宿区中井２,"
西武新宿線/中井駅 歩5分
都営大江戸線/落合南長崎駅 歩9分
東京メトロ東西線/落合駅 歩12分
","
築19年
2階建
","
											1階",8万円,2000円,8万円,8万円,1DK,32.16m2
センターウェル,東京都新宿区中井２,"
西武新宿線/中井駅 歩5分
都営大江戸線/落合南長崎駅 歩9分
東京メトロ東西線/落合駅 歩12分
","
築19年
2階建
","
											1階",8.3万円,2000円,8.3万円,8.3万円,1DK,32.16m2
東京メトロ丸ノ内線 西新宿駅 4階建 築9年,東京都新宿区北新宿１,"
東京メトロ丸ノ内線/西新宿駅 歩8分
ＪＲ中央線/大久保駅 歩6分
ＪＲ山手線/新大久保駅 歩12分
","
築9年
4階建
","
											3階",10万円,8000円,10万円,-,1K,25.68m2
東京メトロ丸ノ内線 西新宿駅 4階建 築9年,東京都新宿区北新宿１,"
東京メトロ丸ノ内線/西新宿駅 歩8分
ＪＲ中央線/大久保駅 歩6分
ＪＲ山手線/新大久保駅 歩12分
","
築9年
4階建
","
											3階",10.2万円,8000円,10.2万円,10.2万円,1K,25.68m2
東京メトロ丸ノ内線 西新宿駅 4階建 築9年,東京都新宿区北新宿１,"
東京メトロ丸ノ内線/西新宿駅 歩8分
ＪＲ中央線/大久保駅 歩6分
ＪＲ山手線/新大久保駅 歩12分
","
築9年
4階建
","
											3階",10.2万円,8000円,10.2万円,10.2万円,1K,25.68m2
プレミスト山吹神楽坂,東京都新宿区山吹町,"
東京メトロ有楽町線/江戸川橋駅 歩4分
東京メトロ東西線/神楽坂駅 歩7分
都営大江戸線/牛込神楽坂駅 歩15分
","
築3年
13階建
","
											11階",13万円,13000円,13万円,13万円,1K,26.6m2
プレミスト山吹神楽坂,東京都新宿区山吹町,"
東京メトロ有楽町線/江戸川橋駅 歩4分
東京メトロ東西線/神楽坂駅 歩7分
都営大江戸線/牛込神楽坂駅 歩15分
","
築3年
13階建
","
											11階",13万円,13000円,13万円,13万円,1K,26.6m2
ＮＥＸＴ,東京都新宿区上落合３,"
東京メトロ東西線/落合駅 歩3分
西武新宿線/中井駅 歩5分
ＪＲ中央線/東中野駅 歩8分
","
築26年
3階建
","
											2階",13.2万円,-,13.2万円,13.2万円,2DK,43m2
武蔵ビル,東京都新宿区中落合２,"
西武新宿線/中井駅 歩7分
東京メトロ東西線/落合駅 歩14分
西武新宿線/下落合駅 歩9分
","
築39年
7階建
","
											1階",6.4万円,-,6.4万円,-,ワンルーム,19m2
武蔵ビル,東京都新宿区中落合２,"
西武新宿線/中井駅 歩7分
東京メトロ東西線/落合駅 歩14分
西武新宿線/下落合駅 歩9分
","
築39年
7階建
","
											1階",15万円,-,15万円,15万円,3DK,48.6m2
市ヶ谷仲之町ヒルズ　クレスト　Ｎｏｒｔｈ棟,東京都新宿区市谷仲之町,"
都営新宿線/曙橋駅 歩4分
都営大江戸線/牛込柳町駅 歩10分
都営大江戸線/若松河田駅 歩11分
","
築1年
6階建
","
											2階",11.6万円,7000円,-,-,1K,25.62m2
市ヶ谷仲之町ヒルズ　クレスト　Ｎｏｒｔｈ棟,東京都新宿区市谷仲之町,"
都営新宿線/曙橋駅 歩4分
都営大江戸線/牛込柳町駅 歩10分
都営大江戸線/若松河田駅 歩11分
","
築1年
6階建
","
											2階",11.6万円,7000円,-,-,1K,25.6m2
市ヶ谷仲之町ヒルズ　クレスト　Ｎｏｒｔｈ棟,東京都新宿区市谷仲之町,"
都営新宿線/曙橋駅 歩4分
都営大江戸線/牛込柳町駅 歩10分
都営大江戸線/若松河田駅 歩11分
","
築1年
6階建
","
											2階",11.6万円,7000円,-,11.6万円,1K,25.37m2
市ヶ谷仲之町ヒルズ　クレスト　Ｎｏｒｔｈ棟,東京都新宿区市谷仲之町,"
都営新宿線/曙橋駅 歩4分
都営大江戸線/牛込柳町駅 歩10分
都営大江戸線/若松河田駅 歩11分
","
築1年
6階建
","
											3階",11.7万円,7000円,-,-,1K,25.37m2
市ヶ谷仲之町ヒルズ　クレスト　Ｎｏｒｔｈ棟,東京都新宿区市谷仲之町,"
都営新宿線/曙橋駅 歩4分
都営大江戸線/牛込柳町駅 歩10分
都営大江戸線/若松河田駅 歩11分
","
築1年
6階建
","
											3階",11.7万円,7000円,-,-,1K,25.6m2
市ヶ谷仲之町ヒルズ　クレスト　Ｎｏｒｔｈ棟,東京都新宿区市谷仲之町,"
都営新宿線/曙橋駅 歩4分
都営大江戸線/牛込柳町駅 歩10分
都営大江戸線/若松河田駅 歩11分
","
築1年
6階建
","
											2階",11.8万円,7000円,-,-,1K,26.14m2
市ヶ谷仲之町ヒルズ　クレスト　Ｎｏｒｔｈ棟,東京都新宿区市谷仲之町,"
都営新宿線/曙橋駅 歩4分
都営大江戸線/牛込柳町駅 歩10分
都営大江戸線/若松河田駅 歩11分
","
築1年
6階建
","
											4階",11.8万円,7000円,-,-,1K,25.6m2
市ヶ谷仲之町ヒルズ　クレスト　Ｎｏｒｔｈ棟,東京都新宿区市谷仲之町,"
都営新宿線/曙橋駅 歩4分
都営大江戸線/牛込柳町駅 歩10分
都営大江戸線/若松河田駅 歩11分
","
築1年
6階建
","
											3階",11.9万円,7000円,-,-,1K,26.14m2
市ヶ谷仲之町ヒルズ　クレスト　Ｎｏｒｔｈ棟,東京都新宿区市谷仲之町,"
都営新宿線/曙橋駅 歩4分
都営大江戸線/牛込柳町駅 歩10分
都営大江戸線/若松河田駅 歩11分
","
築1年
6階建
","
											4階",12万円,7000円,-,-,1K,26.14m2
